category,source_dataset,original_pid,allocation,stage_id,original_train_images
boat,boat,0,train,t4,105
boat,boat,100,train,t4,35
boat,boat,102,train,t4,61
boat,boat,103,train,t4,49
boat,boat,105,train,t4,63
boat,boat,106,train,t4,35
boat,boat,12,train,t4,21
boat,boat,13,train,t4,30
boat,boat,14,train,t4,35
boat,boat,15,train,t4,175
boat,boat,17,train,t4,98
boat,boat,18,train,t4,42
boat,boat,19,train,t4,84
boat,boat,2,train,t4,28
boat,boat,20,train,t4,70
boat,boat,21,train,t4,77
boat,boat,23,train,t4,98
boat,boat,24,train,t4,42
boat,boat,25,train,t4,84
boat,boat,29,train,t4,70
boat,boat,30,train,t4,70
boat,boat,32,train,t4,28
boat,boat,33,train,t4,56
boat,boat,36,train,t4,63
boat,boat,37,train,t4,28
boat,boat,38,train,t4,70
boat,boat,39,train,t4,70
boat,boat,4,train,t4,35
boat,boat,40,train,t4,77
boat,boat,41,train,t4,7
boat,boat,42,train,t4,63
boat,boat,45,train,t4,35
boat,boat,46,train,t4,35
boat,boat,47,train,t4,35
boat,boat,48,train,t4,21
boat,boat,49,train,t4,35
boat,boat,5,train,t4,91
boat,boat,50,train,t4,35
boat,boat,51,train,t4,35
boat,boat,52,train,t4,35
boat,boat,53,train,t4,35
boat,boat,55,train,t4,70
boat,boat,56,train,t4,35
boat,boat,57,train,t4,28
boat,boat,59,train,t4,63
boat,boat,6,train,t4,91
boat,boat,63,train,t4,35
boat,boat,64,train,t4,91
boat,boat,65,train,t4,70
boat,boat,66,train,t4,35
boat,boat,71,train,t4,63
boat,boat,72,train,t4,70
boat,boat,73,train,t4,35
boat,boat,76,train,t4,63
boat,boat,77,train,t4,35
boat,boat,79,train,t4,49
boat,boat,80,train,t4,35
boat,boat,81,train,t4,49
boat,boat,83,train,t4,56
boat,boat,86,train,t4,70
boat,boat,87,train,t4,35
boat,boat,88,train,t4,56
boat,boat,89,train,t4,49
boat,boat,90,train,t4,56
boat,boat,91,train,t4,49
boat,boat,92,train,t4,28
boat,boat,93,train,t4,35
boat,boat,94,train,t4,42
boat,boat,95,train,t4,42
boat,boat,96,train,t4,35
boat,boat,98,train,t4,35
boat,boat,99,train,t4,42
boat,boat,104,validation,,70
boat,boat,11,validation,,35
boat,boat,26,validation,,28
boat,boat,28,validation,,91
