stage_id,training_categories,seen_categories,split,gallery_scope,routing,category,status,training_identities,training_images,source_datasets,mAP,Rank1,mAP_forgetting_pp,Rank1_forgetting_pp,mAP_forgetting_relative_percent,Rank1_forgetting_relative_percent
t1,person;vehicle,person;vehicle,test,per_dataset,prototype,person,new,225,,,50.769001196587546,71.19952494061758,,,,
t1,person;vehicle,person;vehicle,test,per_dataset,prototype,vehicle,new,173,,,39.90256102718004,70.61978545887962,,,,
t1,person;vehicle,person;vehicle,test,per_dataset,oracle,person,new,225,,,50.769001196587546,71.19952494061758,,,,
t1,person;vehicle,person;vehicle,test,per_dataset,oracle,vehicle,new,173,,,39.91179120557664,70.61978545887962,,,,
t1,person;vehicle,person;vehicle,test,mixed,prototype,person,new,225,,,50.76823509928725,71.19952494061758,,,,
t1,person;vehicle,person;vehicle,test,mixed,prototype,vehicle,new,173,,,39.89418475136494,70.61978545887962,,,,
t1,person;vehicle,person;vehicle,test,mixed,oracle,person,new,225,,,50.768480009269744,71.19952494061758,,,,
t1,person;vehicle,person;vehicle,test,mixed,oracle,vehicle,new,173,,,39.90419042545325,70.61978545887962,,,,
t2,panda;person;tiger,panda;person;tiger;vehicle,test,per_dataset,prototype,panda,new,16,,,26.313273883515173,49.754901960784316,,,,
t2,panda;person;tiger,panda;person;tiger;vehicle,test,per_dataset,prototype,person,recurring,225,,,52.38959404657469,71.55581947743468,0.0,0.0,0.0,0.0
t2,panda;person;tiger,panda;person;tiger;vehicle,test,per_dataset,prototype,tiger,new,48,,,52.20945099009139,86.66666666666667,,,,
t2,panda;person;tiger,panda;person;tiger;vehicle,test,per_dataset,prototype,vehicle,absent,0,0,,39.860924458393754,70.61978545887962,0.04163656878628785,0.0,0.104345605180396,0.0
t2,panda;person;tiger,panda;person;tiger;vehicle,test,per_dataset,oracle,panda,new,16,,,26.363350159019284,49.754901960784316,,,,
t2,panda;person;tiger,panda;person;tiger;vehicle,test,per_dataset,oracle,person,recurring,225,,,52.38959404657469,71.55581947743468,0.0,0.0,0.0,0.0
t2,panda;person;tiger,panda;person;tiger;vehicle,test,per_dataset,oracle,tiger,new,48,,,52.23589557568157,86.66666666666667,,,,
t2,panda;person;tiger,panda;person;tiger;vehicle,test,per_dataset,oracle,vehicle,absent,0,0,,39.91179120557664,70.61978545887962,0.0,0.0,0.0,0.0
t2,panda;person;tiger,panda;person;tiger;vehicle,test,mixed,prototype,panda,new,16,,,26.1029497092705,49.509803921568626,,,,
t2,panda;person;tiger,panda;person;tiger;vehicle,test,mixed,prototype,person,recurring,225,,,52.38457676477256,71.55581947743468,0.0,0.0,0.0,0.0
t2,panda;person;tiger,panda;person;tiger;vehicle,test,mixed,prototype,tiger,new,48,,,51.4020820488428,86.66666666666667,,,,
t2,panda;person;tiger,panda;person;tiger;vehicle,test,mixed,prototype,vehicle,absent,0,0,,39.840515253933205,70.56019070321811,0.053669497431734214,0.05959475566150729,0.13452962572420524,0.08438818565401623
t2,panda;person;tiger,panda;person;tiger;vehicle,test,mixed,oracle,panda,new,16,,,26.16742517623632,49.754901960784316,,,,
t2,panda;person;tiger,panda;person;tiger;vehicle,test,mixed,oracle,person,recurring,225,,,52.38550102018404,71.55581947743468,0.0,0.0,0.0,0.0
t2,panda;person;tiger,panda;person;tiger;vehicle,test,mixed,oracle,tiger,new,48,,,51.4356859212553,86.66666666666667,,,,
t2,panda;person;tiger,panda;person;tiger;vehicle,test,mixed,oracle,vehicle,absent,0,0,,39.897068939977586,70.61978545887962,0.007121485475664713,0.0,0.017846460233214526,0.0
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,per_dataset,prototype,panda,recurring,15,,,33.968246445795735,48.03921568627451,0.0,1.7156862745098067,0.0,3.448275862068971
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,per_dataset,prototype,person,recurring,225,,,51.712465256755706,70.19002375296913,0.6771287898189868,1.3657957244655563,1.2924871859419542,1.9087136929460553
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,per_dataset,prototype,tiger,absent,0,0,,52.21080794202051,86.66666666666667,0.0,0.0,0.0,0.0
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,per_dataset,prototype,vehicle,recurring,173,,,41.55183902958151,69.07032181168057,0.0,1.5494636471990475,0.0,2.194092827004221
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,per_dataset,oracle,panda,recurring,15,,,33.96088945517483,48.03921568627451,0.0,1.7156862745098067,0.0,3.448275862068971
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,per_dataset,oracle,person,recurring,225,,,51.712460183490336,70.19002375296913,0.6771338630843573,1.3657957244655563,1.2924968696691577,1.9087136929460553
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,per_dataset,oracle,tiger,absent,0,0,,52.23589557568157,86.66666666666667,0.0,0.0,0.0,0.0
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,per_dataset,oracle,vehicle,recurring,173,,,41.57078590917188,69.12991656734208,0.0,1.4898688915375402,0.0,2.1097046413502047
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,mixed,prototype,panda,recurring,15,,,33.928405956232375,48.03921568627451,0.0,1.470588235294116,0.0,2.970297029702967
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,mixed,prototype,person,recurring,225,,,51.70770067257078,70.19002375296913,0.6768760922017805,1.3657957244655563,1.2921285882316496,1.9087136929460553
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,mixed,prototype,tiger,absent,0,0,,51.41193740101678,86.66666666666667,0.0,0.0,0.0,0.0
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,mixed,prototype,vehicle,recurring,173,,,41.53255638887,69.07032181168057,0.0,1.5494636471990475,0.0,2.194092827004221
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,mixed,oracle,panda,recurring,15,,,33.92600733838712,48.03921568627451,0.0,1.7156862745098067,0.0,3.448275862068971
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,mixed,oracle,person,recurring,225,,,51.70869173026383,70.19002375296913,0.6768092899202074,1.3657957244655563,1.2919782702076936,1.9087136929460553
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,mixed,oracle,tiger,absent,0,0,,51.44497503959852,86.66666666666667,0.0,0.0,0.0,0.0
t3,panda;person;vehicle,panda;person;tiger;vehicle,test,mixed,oracle,vehicle,recurring,173,,,41.55292842710556,69.12991656734208,0.0,1.4898688915375402,0.0,2.1097046413502047
t4,boat;tiger;vehicle,boat;panda;person;tiger;vehicle,test,per_dataset,prototype,boat,new,72,,,84.20179449816689,92.5925925925926,,,,
t4,boat;tiger;vehicle,boat;panda;person;tiger;vehicle,test,per_dataset,prototype,panda,absent,0,0,,33.968246445795735,48.03921568627451,0.0,1.7156862745098067,0.0,3.448275862068971
t4,boat;tiger;vehicle,boat;panda;person;tiger;vehicle,test,per_dataset,prototype,person,absent,0,0,,51.71314767019099,70.19002375296913,0.6764463763837014,1.3657957244655563,1.2911846115515537,1.9087136929460553
t4,boat;tiger;vehicle,boat;panda;person;tiger;vehicle,test,per_dataset,prototype,tiger,recurring,48,,,56.38625208733466,89.33333333333333,0.0,0.0,0.0,0.0
t4,boat;tiger;vehicle,boat;panda;person;tiger;vehicle,test,per_dataset,prototype,vehicle,recurring,172,,,44.08935296906781,67.87842669845054,0.0,2.7413587604290797,0.0,3.8818565400843843
t4,boat;tiger;vehicle,boat;panda;person;tiger;vehicle,test,per_dataset,oracle,boat,new,72,,,84.20179449816689,92.5925925925926,,,,
t4,boat;tiger;vehicle,boat;panda;person;tiger;vehicle,test,per_dataset,oracle,panda,absent,0,0,,33.96088945517483,48.03921568627451,0.0,1.7156862745098067,0.0,3.448275862068971
t4,boat;tiger;vehicle,boat;panda;person;tiger;vehicle,test,per_dataset,oracle,person,absent,0,0,,51.712460183490336,70.19002375296913,0.6771338630843573,1.3657957244655563,1.2924968696691577,1.9087136929460553
t4,boat;tiger;vehicle,boat;panda;person;tiger;vehicle,test,per_dataset,oracle,tiger,recurring,48,,,56.41940477879445,88.0,0.0,0.0,0.0,0.0
